space_id,old_id,space_name,space_type,language,lat,long,wikidata_id,note,created,created_by,last_modified,last_modified_by
SP0001,L0001,library,L,en,0.0,0.0,,,2018-07-23,MG,2020-04-05,DP
SP0002,L0002,prison,L,en,0.0,0.0,,,2018-07-23,MG,2020-04-05,DP
SP0003,L0003,book store,L,en,0.0,0.0,,,2018-07-30,MG,2020-04-05,DP
SP0004,PL0001,China,PL,en,35.86166,104.195397,Q148,,2017-07-07,OS,2022-06-29,ReadActor
SP0005,PL0002,Beijing,PL,en,39.9042,116.407396,Q956,,2017-07-08,OS,2022-06-29,ReadActor
SP0006,PL0003,Shanghai,PL,en,31.23039,121.473702,Q8686,,2017-07-09,OS,2022-06-29,ReadActor
SP1000,,Jefferson,PL,en,36.42,-81.468889,,,2021-06-07,DP,2021-06-07,DP
SP1001,,Melksham,PL,en,51.371,-2.138,,,2021-06-07,DP,2021-06-07,DP
SP2000,,Tübingen,,,,,,,,,,
