,person_id,family_name,first_name,name_lang,sex,birthyear,deathyear,place_of_birth,wikipedia_link,wikidata_id,created,created_by,last_modified,last_modified_by,note
0,AG0001,鲁,迅,zh,male,1881,1936,SP0048,https://en.wikipedia.org/wiki/Lu_Xun,Q23114,2017-07-03,LH,2020-04-02,DP, Overwritten.  By SemBot.
1,AG1001,盖曼,尼尔,zh,male,1960,,Portchester,,Q210059,2021-12-22,QG,,,
2,AG1002,Gaiman,Neil,en,male,1960,,Portchester,https://en.wikipedia.org/wiki/Neil_Gaiman,Q210059,2021-12-22,QG,,,
3,AG1003,,Sanmao,en,,0.0,1234.0,,https://zh.wikipedia.org/wiki/%E4%B8%89%E6%AF%9B_(%E4%BD%9C%E5%AE%B6),,2021-12-22,QG,,, Warning: No match in Wikidata database.
4,AG1004,Neruda,Jan,en,male,1834,1891,Prague,,Q156321,2021-12-22,QG,,,
5,AG0210,Doyle,Arthur Conan,en,male,1859,1930,SP0123,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle,Q35610,2018-02-05,OS,2020-04-02,DP, Overwritten.  By SemBot.
